Log
"Index: 13443 | Date: 2024-01-02 20:15:00 | Close: 37613.999, Opening long position at $37614.00 position: 1"
"Index: 13093 | Date: 2024-01-08 18:45:00 | Close: 37490.709, Adding to long position at $37490.71 position: 2"
"Index: 12831 | Date: 2024-01-11 17:30:00 | Close: 37520.769, Adding to long position at $37520.77 position: 3"
"Index: 12478 | Date: 2024-01-17 20:00:00 | Close: 37167.275, Adding to long position at $37167.28 position: 4"
"Index: 12299 | Date: 2024-01-19 20:15:00 | Close: 37878.599, Adding to long position at $37878.60 position: 5"
"Index: 12133 | Date: 2024-01-23 17:15:00 | Close: 37829.715, Adding to long position at $37829.71 position: 6"
"Index: 11834 | Date: 2024-01-29 03:00:00 | Close: 38040.375, Adding to long position at $38040.38 position: 7"
"Index: 11705 | Date: 2024-01-30 13:00:00 | Close: 38252.151, Adding to long position at $38252.15 position: 8"
"Index: 11585 | Date: 2024-01-31 20:45:00 | Close: 38143.751, Adding to long position at $38143.75 position: 9"
"Index: 11421 | Date: 2024-02-02 17:15:00 | Close: 38588.227, Adding to long position at $38588.23 position: 10"
"Index: 10922 | Date: 2024-02-12 08:30:00 | Close: 38629.599, Adding to long position at $38629.60 position: 11"
"Index: 10786 | Date: 2024-02-13 20:15:00 | Close: 38081.227, Adding to long position at $38081.23 position: 12"
"Index: 10616 | Date: 2024-02-15 18:15:00 | Close: 38692.999, Adding to long position at $38693.00 position: 13"
"Index: 10267 | Date: 2024-02-21 19:45:00 | Close: 38435.787, Adding to long position at $38435.79 position: 14"
"Closing long position, Profit: $1492.23 position: 14"
"Closing long position, Profit: $1615.52 position: 13"
"Closing long position, Profit: $1585.46 position: 12"
"Closing long position, Profit: $1938.95 position: 11"
"Closing long position, Profit: $1227.63 position: 10"
"Closing long position, Profit: $1276.51 position: 9"
"Closing long position, Profit: $1065.85 position: 8"
"Closing long position, Profit: $854.08 position: 7"
"Closing long position, Profit: $962.48 position: 6"
"Closing long position, Profit: $518.00 position: 5"
"Closing long position, Profit: $476.63 position: 4"
"Closing long position, Profit: $1025.00 position: 3"
"Closing long position, Profit: $413.23 position: 2"
"Closing long position, Profit: $670.44 position: 1"
Net Profit<><><><><><><><: 15121.995999999985
"Index: 10000 | Date: 2024-02-26 19:45:00 | Close: 39106.227, Opening short position at $39106.23 position: -1"
"Index: 9641 | Date: 2024-03-01 20:30:00 | Close: 39087.275, Adding to short position at $39087.28 position: -2"
"Closing short position, Profit: $642.44 position: -2"
"Closing short position, Profit: $623.49 position: -1"
Net Profit: 1265.9280000000072
"Index: 9464 | Date: 2024-03-05 20:15:00 | Close: 38463.787, Opening long position at $38463.79 position: 1"
"Index: 9329 | Date: 2024-03-07 09:30:00 | Close: 38643.563, Adding to long position at $38643.56 position: 2"
"Index: 9115 | Date: 2024-03-11 17:45:00 | Close: 38745.703, Adding to long position at $38745.70 position: 3"
"Index: 8842 | Date: 2024-03-14 19:15:00 | Close: 38753.187, Adding to long position at $38753.19 position: 4"
"Closing long position, Profit: $943.02 position: 4"
"Closing long position, Profit: $763.24 position: 3"
"Closing long position, Profit: $661.10 position: 2"
"Closing long position, Profit: $653.62 position: 1"
Net Profit<><><><><><><><: 3020.9720000000016
"Index: 8245 | Date: 2024-03-25 12:45:00 | Close: 39406.803, Opening short position at $39406.80 position: -1"
"Index: 7891 | Date: 2024-04-01 12:15:00 | Close: 39825.587, Adding to short position at $39825.59 position: -2"
"Index: 7771 | Date: 2024-04-02 20:00:00 | Close: 39189.715, Adding to short position at $39189.71 position: -3"
"Index: 7599 | Date: 2024-04-04 18:30:00 | Close: 38761.751, Adding to short position at $38761.75 position: -4"
"Index: 7269 | Date: 2024-04-10 12:00:00 | Close: 38998.799, Adding to short position at $38998.80 position: -5"
"Closing short position, Profit: $1515.52 position: -5"
"Closing short position, Profit: $1934.30 position: -4"
"Closing short position, Profit: $1298.43 position: -3"
"Closing short position, Profit: $870.46 position: -2"
"Closing short position, Profit: $1107.51 position: -1"
Net Profit: 6726.220000000008
"Index: 7062 | Date: 2024-04-12 19:15:00 | Close: 37891.287, Opening long position at $37891.29 position: 1"
"Index: 6793 | Date: 2024-04-17 19:45:00 | Close: 37743.227, Adding to long position at $37743.23 position: 2"
"Index: 6672 | Date: 2024-04-19 05:30:00 | Close: 37509.799, Adding to long position at $37509.80 position: 3"
"Index: 6543 | Date: 2024-04-22 15:30:00 | Close: 38025.739, Adding to long position at $38025.74 position: 4"
"Index: 6168 | Date: 2024-04-28 22:45:00 | Close: 38297.703, Adding to long position at $38297.70 position: 5"
"Index: 5817 | Date: 2024-05-02 19:45:00 | Close: 38237.227, Adding to long position at $38237.23 position: 6"
"Index: 5641 | Date: 2024-05-06 19:15:00 | Close: 38767.899, Adding to long position at $38767.90 position: 7"
"Index: 5472 | Date: 2024-05-08 17:00:00 | Close: 38961.999, Adding to long position at $38962.00 position: 8"
"Closing long position, Profit: $1656.42 position: 8"
"Closing long position, Profit: $1804.48 position: 7"
"Closing long position, Profit: $2037.90 position: 6"
"Closing long position, Profit: $1521.96 position: 5"
"Closing long position, Profit: $1250.00 position: 4"
"Closing long position, Profit: $1310.48 position: 3"
"Closing long position, Profit: $779.80 position: 2"
"Closing long position, Profit: $585.70 position: 1"
Net Profit<><><><><><><><: 10946.744000000013
"Index: 5213 | Date: 2024-05-13 15:00:00 | Close: 39547.703, Opening short position at $39547.70 position: -1"
"Index: 4930 | Date: 2024-05-16 19:00:00 | Close: 39973.603, Adding to short position at $39973.60 position: -2"
"Index: 4753 | Date: 2024-05-20 18:45:00 | Close: 39823.499, Adding to short position at $39823.50 position: -3"
"Index: 4545 | Date: 2024-05-23 04:00:00 | Close: 39751.887, Adding to short position at $39751.89 position: -4"
"Index: 4404 | Date: 2024-05-24 17:00:00 | Close: 39159.263, Adding to short position at $39159.26 position: -5"
"Closing short position, Profit: $1170.43 position: -5"
"Closing short position, Profit: $1596.33 position: -4"
"Closing short position, Profit: $1446.22 position: -3"
"Closing short position, Profit: $1374.61 position: -2"
"Closing short position, Profit: $781.99 position: -1"
Net Profit: 6369.580000000002
"Index: 3963 | Date: 2024-05-31 19:15:00 | Close: 38377.275, Opening long position at $38377.28 position: 1"
"Index: 3782 | Date: 2024-06-04 20:00:00 | Close: 38713.239, Adding to long position at $38713.24 position: 2"
"Index: 3605 | Date: 2024-06-06 19:45:00 | Close: 38883.115, Adding to long position at $38883.11 position: 3"
"Index: 3448 | Date: 2024-06-10 14:30:00 | Close: 38742.199, Adding to long position at $38742.20 position: 4"
"Index: 3325 | Date: 2024-06-12 00:45:00 | Close: 38723.787, Adding to long position at $38723.79 position: 5"
"Index: 3094 | Date: 2024-06-14 14:00:00 | Close: 38322.099, Adding to long position at $38322.10 position: 6"
"Index: 2897 | Date: 2024-06-18 18:45:00 | Close: 38795.787, Adding to long position at $38795.79 position: 7"
"Index: 2742 | Date: 2024-06-20 16:15:00 | Close: 38935.751, Adding to long position at $38935.75 position: 8"
"Index: 2576 | Date: 2024-06-24 13:15:00 | Close: 39256.599, Adding to long position at $39256.60 position: 9"
"Index: 2392 | Date: 2024-06-26 14:45:00 | Close: 39052.715, Adding to long position at $39052.71 position: 10"
"Index: 2196 | Date: 2024-06-28 19:15:00 | Close: 39030.751, Adding to long position at $39030.75 position: 11"
"Index: 2025 | Date: 2024-07-02 17:30:00 | Close: 39175.239, Adding to long position at $39175.24 position: 12"
"Index: 1904 | Date: 2024-07-04 06:15:00 | Close: 39281.739, Adding to long position at $39281.74 position: 13"
"Index: 1691 | Date: 2024-07-08 18:15:00 | Close: 39331.299, Adding to long position at $39331.30 position: 14"
"Index: 1509 | Date: 2024-07-10 19:15:00 | Close: 39544.027, Adding to long position at $39544.03 position: 15"
"Index: 1330 | Date: 2024-07-12 19:30:00 | Close: 40051.703, Adding to long position at $40051.70 position: 16"
"Closing long position, Profit: $2221.52 position: 16"
"Closing long position, Profit: $1885.56 position: 15"
"Closing long position, Profit: $1715.68 position: 14"
"Closing long position, Profit: $1856.60 position: 13"
"Closing long position, Profit: $1875.01 position: 12"
"Closing long position, Profit: $2276.70 position: 11"
"Closing long position, Profit: $1803.01 position: 10"
"Closing long position, Profit: $1663.05 position: 9"
"Closing long position, Profit: $1342.20 position: 8"
"Closing long position, Profit: $1546.08 position: 7"
"Closing long position, Profit: $1568.05 position: 6"
"Closing long position, Profit: $1423.56 position: 5"
"Closing long position, Profit: $1317.06 position: 4"
"Closing long position, Profit: $1267.50 position: 3"
"Closing long position, Profit: $1054.77 position: 2"
"Closing long position, Profit: $547.09 position: 1"
Net Profit<><><><><><><><: 25363.427999999985
"Index: 929 | Date: 2024-07-19 12:30:00 | Close: 40598.797, Opening short position at $40598.80 position: -1"
"Index: 724 | Date: 2024-07-23 19:15:00 | Close: 40463.299, Adding to short position at $40463.30 position: -2"
"Index: 556 | Date: 2024-07-25 16:45:00 | Close: 40329.739, Adding to short position at $40329.74 position: -3"
"Index: 368 | Date: 2024-07-29 19:15:00 | Close: 40583.251, Adding to short position at $40583.25 position: -4"
"Index: 121 | Date: 2024-08-01 14:15:00 | Close: 40586.739, Adding to short position at $40586.74 position: -5"
"Closing short position, Profit: $1157.07 position: -5"
"Closing short position, Profit: $1021.57 position: -6"
"Closing short position, Profit: $888.01 position: -7"
"Closing short position, Profit: $1141.52 position: -8"
"Closing short position, Profit: $1145.01 position: -9"
